id,family id,parent id,1st last name,2nd last name,first name,middle name,Formalized name,full name,birth_place,occupation,Birth_year,death_year,partner first name,parner 1st last name,partner 2nd last name,partner id,statement,Column1
SP15SP000720,,,González,,Juan,,Juan  González ,Juan González,,,0,0,,,,,,
SP15SP000721,,,Ribera,,Beatriz,,Beatriz  Ribera ,Beatriz de Ribera,,,0,0,Alonso,Cabrera,,,wife of alonso de cabrera and debtor to Jacome cassana,
SP15SP000722,,,Pérez,,Catalina,,Catalina  Pérez ,Catalina Pérez,,,0,0,,,,,neighbout,
SP15SP000723,,,Santa Fe,,Jaime,,Jaime  Santa Fe ,Jaime de Santa Fe,,,0,0,,,,,procurador de causas vecino de tenerife,
SP15SP000724,,,Ochoa,Olazábal,Juan,,Juan  Ochoa Olazábal,Juan de Ochoa de Olazábal,,,0,0,,,,,,
SP15SP000725,,,Burgos,,Luis,,Luis  Burgos ,Luis de Burgos,,merchants,0,0,,,,,Estante in castile,
SP15SP000726,,,Merando,,Sancho,,Sancho  Merando ,Sancho Merando,106SP,merchants,0,0,,,,,Estante in castile,
SP15SP000727,,,Álvarez,,Nuño,,Nuño  Álvarez ,Nuño Alvarez,,farmers,0,0,,,,,used to work in perpetuity to Rafael Spinola,
SP15SP000728,,,Luis,,Regel,,Regel  Luis ,Regel Luis,,farmers,0,0,,,,,factor of rafael spinola and farmer of his land,
SP15SP000729,,,Zapata,,Juan,,Juan  Zapata ,Juan Zapata,,,0,0,,,,,,
SP15SP000730,,,,,Cristóbal,,Cristóbal   ,Cristóbal,,farmers,0,0,,,,,takes party in the caretaking of the lands of Rafael Spinola,
