o:id,identifier,o:spouse
24913,4a2d35d0-7f7b-4ce5-8e34-4720b833fb25,23364
25322,e30d5a61-55ab-4eb1-a7ba-d5a24851bdf4,23364
23777,aaf98735-992d-4e03-8530-773da495cebe,23365
24392,54bcf6d9-a6b6-46a1-af7d-d9cb7b33343e,23373
24726,9e7fe2d4-934d-4fe9-8069-2764734ea9c6,23374
25209,cd1aee19-e304-4cb6-a926-1659212a2d8b,23378
24124,de1d0361-4c5d-45a3-8865-26c1b9d9e462,23380
24567,c6ca4246-8a1a-4637-af1a-1f3d085affbf,23382
24453,9d8d46c1-e752-47bc-b440-8af90344fde9,23384
24584,aae5bd59-ed04-46c4-8aec-44c85b6d820e,23389
24785,68994ad6-961c-459d-afa2-2767366ed84a,23389
24312,e2df4018-7bff-4757-a66b-7f88e837f5d9,23395
24843,ae8cf5c2-1506-42e2-a1c5-6612943b3b64,23396
23794,82a86d39-6fc9-433f-80b0-c0f7302d50c2,23397
24741,311e37d4-eeb4-4e63-9bc5-b719c03b1f89,23398
23775,e5f552dc-426d-4495-b86a-50ad49e1f490,23399
26791,7237c343-e12c-44b0-b5b7-93cacdcdc08b,23400
25137,06b6c1b3-c092-4ac3-b1f8-18e985991c67,23405
24955,eaab6276-2f60-482e-a084-b0a9c71ac92b,23406
25106,456b9455-26ed-495d-8cfd-bbb66dcee5a1,23411
24484,33948222-443e-4147-967b-887c28b0939d,23412
24122,58b24c9c-ab4f-45ce-9a5a-41b713d5ec8f,23418
23986,4adf80e5-1ab8-46b1-a868-1a17bf37c0c4,23419
24868,9dac5794-89ac-4522-854b-4722ae8436cb,23424
42325,8d2f9101-9cee-43e0-916c-0bbbb18d7d3b,23426
23796,dbca0433-0d57-4594-b1e6-cbb6635a803f,23429
24511,8ec6c3c8-3818-481d-bac6-8101e0ce7898,23430
24788,699055ea-e9ce-4cbf-87e7-ba444d0f43f6,23432
24561,91840a57-c80a-4d7d-bf57-0e6c037b5ac6,23433
24663,7b420cef-7ce8-487c-853c-d855b0b65122,23435
25133,c12e2931-2846-4d42-b4aa-b32fb9746831,23436
25104,72d841ed-5d5b-4b39-adff-6b221e8a6475,23439
24554,b4bd7499-b467-4f8a-8ce0-4d2654aabff0,23440
24822,6a6d9bbb-65d0-4fd1-b255-2f33b5ade098,23441
23751,8828edf3-6b30-416f-9a34-3ebd521d2842,23446
23779,c7f012e3-7d8d-41b4-a388-f8e1920410c3,23447
42073,d68893de-6ecd-48fa-8c5f-12330dddd6a6,23448
24801,d95e41ba-6e07-4254-9d39-9817a57406fb,23449
24818,41a4d8a5-8419-4f0f-8787-a42d154c573b,23455
24935,46a05ca8-f444-4fe8-9bbd-adc0d679243c,23456
23604,033388cf-5b91-44ff-ae48-a23c580c715c,23458
25089,cdc9ec0c-ddbd-4db2-873c-a4496a6e7fd5,23458
24827,edbe2682-6c2f-4e53-98ff-1f4c7dbca3c4,23459
24629,488b82c3-1fc9-46b1-a5b6-505170d68cd3,23467
25162,f6cf61ad-7542-4808-8e98-d2aa292d39cb,23471
24236,ca9fa6c4-d924-4a64-9056-f304e3aaf4c9,23473
24182,0aee8b82-a17d-4b94-815f-dd2765f01fd8,23474
24043,d099a72b-d763-4878-b289-d1891bc67f5f,23480
24364,377e9b1e-495d-4786-a8b7-d2e0391a786a,23480
24570,25d0553b-aa21-453d-a280-c899b76e6b53,23482
24173,f8a371f0-f40c-4d69-9450-5e2d626a8247,23484
24341,410cc170-cc8f-4fd9-8ab4-5339ecc8a9f7,23486
24727,4dd19e2e-c1b5-491d-95fe-ead80d574862,23488
24168,ceb24af3-910b-4941-ad2a-595493734584,23491
24814,ad908628-1a22-42a0-bd59-4e20eb4be341,23494
24723,8f60d1bb-8d25-4a0e-8790-2a7397ccaf83,23498
25059,e103d730-087b-4ce9-abf7-8938091b0cc1,23499
23053,76314e7b-cd33-4cb9-aedb-ac9ebbb24109,23501
24421,8153b173-e170-4073-858d-6bff489e96bb,23503
23767,5e811c9a-7888-4446-b6ce-066bef31b8a9,23509
24578,f5dbbb05-b04b-474a-bd60-cf5508227726,23512
24513,5ec1d30c-f4ab-4057-87fe-1ed61d64a651,23514
24648,a5f42bcd-fd5c-46d8-ac36-b30fe2b2a6d1,23516
24348,ae30dd63-e39c-49f2-a12b-ade8ae28c849,23520
24153,2c9d4338-b4c4-4e96-a049-818a61e32acf,23523
24763,82278ea5-2d98-4fcb-affb-0ee4eaff59fb,23525
24071,3d758821-0ec2-4690-85ff-17af0d014510,23530
23876,958a9811-de13-497d-a58a-90cdb3a5dc8f,23532
24429,228bbbf9-cdf4-4cc1-9bf6-c8e857c4c017,23533
24845,44cf8d8d-9c52-43f3-b32f-845604c7c856,23535
24352,d1eff42c-40d8-464a-863a-beae10bac0b2,23536
24834,4e368bd3-97e9-4573-99ae-33829def32ff,23537
24809,acc4e353-4693-4dd9-8570-d34b77df69d2,23539
24143,7125ce06-5197-4027-ae69-e4a90f043b49,23542
24870,a67456e0-2c4c-4d39-af24-4852879e8272,23545
25006,a56c4477-9344-46d3-9561-43a8f2673e08,23555
24531,957ccd19-8136-41a8-9da6-2893e715ee22,23559
24310,c7ebdb5c-5500-4f0a-8b31-a101c269b295,23561
24316,cc1b162d-7d29-404c-bc5c-15b9e19c02a2,23563
24969,c84228f3-da99-41ff-909e-bb97e87d0406,23564
24831,aefa1263-624c-4893-aeab-68be8e195d04,23567
25373,96b87f52-d3c6-4745-a32f-a052794ba87c,23569
24255,ca9bed30-38cd-462e-b4e4-33b0b96757d8,23571
24691,af65ea0f-5375-4d12-8a70-855adb2d060f,23572
24830,cf30212f-ab96-4b6f-b51d-90bf5621f59e,23576
24950,271ffab6-aa40-465c-8e23-93203f11a771,23579
24967,df1c45f9-9ea6-406d-a8ff-1ab5bb01e79a,23584
24390,023b6d84-0f0f-435b-8a4c-02233b81d8fd,23589
